N,tile,partition,mode,time_ms
512,8,0,0,78.185
512,8,0,1,78.648
512,8,0,2,77.124
512,8,1,0,77.570
512,8,1,1,77.845
512,8,1,2,96.143
512,8,2,0,76.940
512,8,2,1,75.823
512,8,2,2,78.356
512,16,0,0,78.195
512,16,0,1,106.739
512,16,0,2,77.588
512,16,1,0,65.890
512,16,1,1,65.811
512,16,1,2,77.669
512,16,2,0,77.526
512,16,2,1,77.732
512,16,2,2,60.689
512,32,0,0,65.283
512,32,0,1,65.603
512,32,0,2,62.858
512,32,1,0,69.312
512,32,1,1,65.621
512,32,1,2,67.372
512,32,2,0,77.334
512,32,2,1,77.597
512,32,2,2,62.067
1024,8,0,0,63.274
1024,8,0,1,75.646
1024,8,0,2,76.905
1024,8,1,0,61.407
1024,8,1,1,59.453
1024,8,1,2,60.680
1024,8,2,0,64.874
1024,8,2,1,65.073
1024,8,2,2,69.722
1024,16,0,0,63.689
1024,16,0,1,64.610
1024,16,0,2,59.287
1024,16,1,0,63.065
1024,16,1,1,60.577
1024,16,1,2,63.023
1024,16,2,0,62.788
1024,16,2,1,61.298
1024,16,2,2,65.507
1024,32,0,0,66.757
1024,32,0,1,70.463
1024,32,0,2,78.178
1024,32,1,0,99.228
1024,32,1,1,64.170
1024,32,1,2,76.690
1024,32,2,0,77.332
1024,32,2,1,77.760
1024,32,2,2,75.531
2048,8,0,0,76.734
2048,8,0,1,67.677
2048,8,0,2,75.951
2048,8,1,0,77.401
2048,8,1,1,76.710
2048,8,1,2,63.978
2048,8,2,0,82.592
2048,8,2,1,68.092
2048,8,2,2,80.993
2048,16,0,0,76.778
2048,16,0,1,66.178
2048,16,0,2,68.491
2048,16,1,0,65.271
2048,16,1,1,72.518
2048,16,1,2,64.927
2048,16,2,0,79.201
2048,16,2,1,92.273
2048,16,2,2,81.420
2048,32,0,0,66.808
2048,32,0,1,68.425
2048,32,0,2,77.531
2048,32,1,0,77.117
2048,32,1,1,65.002
2048,32,1,2,66.377
2048,32,2,0,81.747
2048,32,2,1,68.142
2048,32,2,2,68.626
